Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
Colima,Mexico,-2437.0,-601.0,19.1223,-104.0072
Durango,Mexico,6783.0,354.0,24.5593,-104.6588
Guanajuato,Mexico,66273.0,2540.0,21.019,-101.2574
Guerrero,Mexico,4315.0,46.0,17.4392,-99.5451
Hidalgo,Mexico,-4036.0,829.0,20.0911,-98.7624
Jalisco,Mexico,27201.0,4207.0,20.6595,-103.3494
Mexico,Mexico,139720.0,17970.0,19.4969,-99.7233
Michoacan,Mexico,4553.0,-945.0,19.5665,-101.7068
Morelos,Mexico,-5105.0,127.0,18.6813,-99.1013
Nayarit,Mexico,2495.0,558.0,21.7514,-104.8455
Nuevo Leon,Mexico,45387.0,4163.0,25.5922,-99.9962
Oaxaca,Mexico,28162.0,2122.0,17.0732,-96.7266
Puebla,Mexico,46982.0,5710.0,19.0414,-98.2063
Queretaro,Mexico,27460.0,1783.0,20.5888,-100.3899
Quintana Roo,Mexico,-47926.0,844.0,19.1817,-88.4791
San Luis Potosi,Mexico,35830.0,3037.0,22.1565,-100.9855
Sinaloa,Mexico,19079.0,4149.0,25.1721,-107.4795
Sonora,Mexico,11179.0,3922.0,29.2972,-110.3309
Tabasco,Mexico,42144.0,3190.0,17.8409,-92.6189
Tamaulipas,Mexico,39371.0,3279.0,24.2669,-98.8363
Tlaxcala,Mexico,11063.0,1414.0,19.3139,-98.2404
Unknown,Mexico,-610.0,-41.0,,
Veracruz,Mexico,41797.0,6244.0,19.1738,-96.1342
Yucatan,Mexico,25848.0,2222.0,20.7099,-89.0943
Zacatecas,Mexico,13558.0,1071.0,22.7709,-102.5832
,Moldova,144218.0,2966.0,47.4116,28.3699
,Monaco,-4568.0,-753.0,43.7333,7.4167
,Mongolia,-11071.0,-1547.0,46.8625,103.8467
,Montenegro,35693.0,-146.0,42.708678000000006,19.37439
,Morocco,435688.0,7074.0,31.7917,-7.0926
,Mozambique,18160.0,147.0,-18.665695,35.529562
,Namibia,23325.0,187.0,-22.9576,18.4904
,Nepal,255069.0,1420.0,28.1667,84.25
Aruba,Netherlands,4435.0,-23.0,12.5211,-69.9683
"Bonaire, Sint Eustatius and Saba",Netherlands,-19125.0,-1343.0,12.1784,-68.2385
Curacao,Netherlands,2503.0,-8.0,12.1696,-68.99
Drenthe,Netherlands,8814.0,-3.0,52.862485,6.618435000000002
Flevoland,Netherlands,18362.0,87.0,52.550383,5.515162
Friesland,Netherlands,-39471.0,-851.0,53.087337,5.7925
Gelderland,Netherlands,73797.0,705.0,52.061738,5.939114
Groningen,Netherlands,4151.0,-174.0,53.217922,6.741514
Limburg,Netherlands,-38452.0,334.0,51.209227,5.93387
Noord-Brabant,Netherlands,122324.0,2319.0,51.561174,5.184942
Noord-Holland,Netherlands,123691.0,1486.0,52.60090600000001,4.918688
Overijssel,Netherlands,51116.0,619.0,52.444558,6.441722
Sint Maarten,Netherlands,-14193.0,-148.0,18.0425,-63.0548
Unknown,Netherlands,-32450.0,-1216.0,,
Utrecht,Netherlands,-29976.0,-1331.0,52.084251,5.163824
Zeeland,Netherlands,-119007.0,-2276.0,51.47936,3.861559
Zuid-Holland,Netherlands,108685.0,802.0,51.937835,4.462114
,New Zealand,1702.0,20.0,-40.9006,174.886
,Nicaragua,-12292.0,-183.0,12.865416,-85.207229
,Niger,-7560.0,-319.0,17.607789,8.081666
,Nigeria,69148.0,-1001.0,9.082,8.6753
,North Macedonia,80487.0,2350.0,41.6086,21.7453
,Norway,16664.0,-2998.0,60.472,8.4689
,Oman,120659.0,918.0,21.512583,55.92325500000001
Azad Jammu and Kashmir,Pakistan,-6912.0,-944.0,34.027401,73.947253
Balochistan,Pakistan,-9321.0,-4149.0,28.328492,65.898403
Gilgit-Baltistan,Pakistan,-10378.0,-985.0,35.792146,74.982138
Islamabad,Pakistan,33174.0,141.0,33.665087,73.121219
Khyber Pakhtunkhwa,Pakistan,46439.0,877.0,34.485332,72.09169
Punjab,Pakistan,117595.0,1135.0,30.811346,72.13913199999998
Sindh,Pakistan,200684.0,1738.0,26.009446,68.77680699999999
,Panama,224174.0,93.0,8.538,-80.7821
,Papua New Guinea,-21473.0,-3341.0,-6.314993,143.95555
,Paraguay,-201230.0,-31799.0,-23.4425,-58.4438
