Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
Chandigarh,India,787.0,265.0,30.733839,76.76827800000002
Chhattisgarh,India,3705.0,45.0,21.264705,82.035366
Dadra and Nagar Haveli and Daman and Diu,India,29.0,0.0,20.194742,73.080901
Delhi,India,10411.0,25.0,28.646519,77.10898
Goa,India,6822.0,320.0,15.359682,74.057396
Gujarat,India,6297.0,37.0,22.694884,71.590923
Haryana,India,3282.0,387.0,29.20004,76.332824
Himachal Pradesh,India,15058.0,273.0,31.927213,77.233081
Jammu and Kashmir,India,15761.0,119.0,33.75943,76.612638
Jharkhand,India,3845.0,12.0,23.654536,85.557631
Karnataka,India,56733.0,996.0,14.70518,76.166436
Kerala,India,1157141.0,26833.0,10.450898,76.405749
Ladakh,India,1617.0,12.0,34.1526,77.5771
Lakshadweep,India,69.0,0.0,13.6999972,72.18333259999999
Madhya Pradesh,India,1779.0,17.0,23.541513,78.289633
Maharashtra,India,209489.0,4030.0,19.449759,76.108221
Manipur,India,11585.0,218.0,24.738975,93.882541
Meghalaya,India,8727.0,169.0,25.536934,91.278882
Mizoram,India,80554.0,326.0,23.309381,92.83822
Nagaland,India,2044.0,82.0,26.06702,94.470302
Odisha,India,46365.0,438.0,20.505428,84.418059
Puducherry,India,5768.0,68.0,11.882658,78.86498
Punjab,India,4159.0,211.0,30.841465000000003,75.40879
Rajasthan,India,2127.0,10.0,26.583423,73.847973
Sikkim,India,2549.0,39.0,27.571671,88.472712
Tamil Nadu,India,131664.0,1835.0,11.006091,78.400624
Telangana,India,23522.0,151.0,18.1124,79.0193
Tripura,India,2021.0,27.0,23.746783,91.743565
Unknown,India,0.0,0.0,,
Uttar Pradesh,India,2254.0,90.0,26.925425,80.560982
Uttarakhand,India,2086.0,31.0,30.156447,79.197608
West Bengal,India,89202.0,1305.0,23.814082,87.979803
,Indonesia,162582.0,10418.0,-0.7893,113.9213
,Iran,1169168.0,23213.0,32.427908,53.68804599999999
,Iraq,198281.0,3280.0,33.223191,43.679291
,Ireland,434323.0,800.0,53.1424,-7.6921
,Israel,300951.0,1157.0,31.046051,34.851612
Abruzzo,Italy,27408.0,110.0,42.35122196,13.39843823
Basilicata,Italy,7277.0,35.0,40.63947052,15.80514834
Calabria,Italy,33698.0,297.0,38.90597598,16.59440194
Campania,Italy,136994.0,715.0,40.83956555,14.25084984
Emilia-Romagna,Italy,124653.0,844.0,44.49436681,11.3417208
Friuli Venezia Giulia,Italy,45148.0,410.0,45.6494354,13.76813649
Lazio,Italy,130271.0,749.0,41.89277044,12.48366722
